id,subtime,score,walltime,scoreQueue,qtdRecursos
w0!1662318,2988699.0,60.0,359400,519001.0,1
 
Fila Jobs n:,34,Size:,4,Current time:,3012480.6
w0!1662272,2963421.0,60.0,359400,568061.0,20
w0!1662277,2965900.0,0.0,43200,51581.0,20
w0!1662285,2967328.0,0.0,46800,49768.0,1
w0!1662318,2988699.0,60.0,359400,542783.0,1
 
Fila Jobs n:,35,Size:,3,Current time:,3012567.9
w0!1662277,2965900.0,0.0,43200,51668.0,20
w0!1662285,2967328.0,0.0,46800,49855.0,1
w0!1662318,2988699.0,60.0,359400,542870.0,1
 
Fila Jobs n:,36,Size:,2,Current time:,3140951.0
w0!1662686,3129380.0,60.0,1200,709971.0,28
w0!1662700,3140951.0,21.0,359400,182041.0,1
 
Fila Jobs n:,37,Size:,3,Current time:,3141820.0
w0!1662686,3129380.0,60.0,1200,710840.0,28
w0!1662700,3140951.0,21.0,359400,182910.0,1
w0!1662701,3141820.0,57.0,359400,493081.0,1
 
Fila Jobs n:,38,Size:,3,Current time:,3143882.3
w0!1662686,3129380.0,60.0,1200,712902.0,28
w0!1662700,3140951.0,21.0,359400,184972.0,1
w0!1662701,3141820.0,57.0,359400,495143.0,1
 
Fila Jobs n:,39,Size:,3,Current time:,3145031.2
w0!1662686,3129380.0,60.0,1200,714051.0,28
w0!1662700,3140951.0,21.0,359400,186121.0,1
w0!1662701,3141820.0,57.0,359400,496292.0,1
 
Fila Jobs n:,40,Size:,4,Current time:,3153689.0
w0!1662686,3129380.0,60.0,1200,722709.0,28
w0!1662700,3140951.0,21.0,359400,194779.0,1
w0!1662701,3141820.0,57.0,359400,504950.0,1
w0!1662708,3153689.0,0.0,359400,601.0,1
 
Fila Jobs n:,41,Size:,5,Current time:,3155168.0
w0!1662686,3129380.0,60.0,1200,724188.0,28
w0!1662700,3140951.0,21.0,359400,196258.0,1
w0!1662701,3141820.0,57.0,359400,506429.0,1
w0!1662708,3153689.0,0.0,359400,2080.0,1
w0!1662709,3155168.0,0.0,7200,30000.0,39
 
Fila Jobs n:,42,Size:,5,Current time:,3158520.2
w0!1662686,3129380.0,60.0,1200,727540.0,28
w0!1662700,3140951.0,21.0,359400,199610.0,1
w0!1662701,3141820.0,57.0,359400,509781.0,1
w0!1662708,3153689.0,0.0,359400,5432.0,1
w0!1662709,3155168.0,0.0,7200,33352.0,39
 
Fila Jobs n:,43,Size:,2,Current time:,3211694.0
w0!1662731,3210450.0,53.0,10910,478962.0,39
w0!1662734,3211694.0,37.0,359400,320281.0,1
 
Fila Jobs n:,44,Size:,2,Current time:,3213135.3
w0!1662731,3210450.0,53.0,10910,480404.0,39
w0!1662734,3211694.0,37.0,359400,321722.0,1
 
Fila Jobs n:,45,Size:,3,Current time:,3225435.0
w0!1662731,3210450.0,53.0,10910,492703.0,39
w0!1662734,3211694.0,37.0,359400,334022.0,1
w0!1662748,3225435.0,60.0,359400,519001.0,20
 
Fila Jobs n:,46,Size:,4,Current time:,3225517.0
w0!1662731,3210450.0,53.0,10910,492785.0,39
w0!1662734,3211694.0,37.0,359400,334104.0,1
w0!1662748,3225435.0,60.0,359400,519083.0,20
w0!1662749,3225517.0,56.0,359400,484441.0,1
 
Fila Jobs n:,47,Size:,5,Current time:,3230512.0
w0!1662731,3210450.0,53.0,10910,497780.0,39
w0!1662734,3211694.0,37.0,359400,339099.0,1
w0!1662748,3225435.0,60.0,359400,524078.0,20
w0!1662749,3225517.0,56.0,359400,489436.0,1
w0!1662763,3230512.0,49.0,359400,423961.0,1
 
Fila Jobs n:,48,Size:,5,Current time:,3233376.6
w0!1662731,3210450.0,53.0,10910,500645.0,39
w0!1662734,3211694.0,37.0,359400,341964.0,1
w0!1662748,3225435.0,60.0,359400,526943.0,20
w0!1662749,3225517.0,56.0,359400,492301.0,1
w0!1662763,3230512.0,49.0,359400,426826.0,1
 
Fila Jobs n:,49,Size:,4,Current time:,3244286.6
w0!1662734,3211694.0,37.0,359400,352874.0,1
w0!1662748,3225435.0,60.0,359400,537853.0,20
w0!1662749,3225517.0,56.0,359400,503211.0,1
w0!1662763,3230512.0,49.0,359400,437736.0,1
 
Fila Jobs n:,50,Size:,2,Current time:,3755168.0
w0!1663237,3745300.0,0.0,359400,10469.0,28
w0!1663252,3755168.0,0.0,359400,601.0,20
 
Fila Jobs n:,51,Size:,2,Current time:,3756803.4
w0!1663237,3745300.0,0.0,359400,12104.0,28
w0!1663252,3755168.0,0.0,359400,2236.0,20
 
Fila Jobs n:,52,Size:,2,Current time:,3813787.0
w0!1663258,3776147.0,16.0,359400,176481.0,20
w0!1663288,3813787.0,46.0,359400,398041.0,1
 
Fila Jobs n:,53,Size:,3,Current time:,3815727.0
w0!1663258,3776147.0,16.0,359400,178421.0,20
w0!1663288,3813787.0,46.0,359400,399981.0,1
w0!1663291,3815727.0,46.0,359400,398041.0,1
 
Fila Jobs n:,54,Size:,4,Current time:,3816041.0
w0!1663258,3776147.0,16.0,359400,178735.0,20
w0!1663288,3813787.0,46.0,359400,400295.0,1
w0!1663291,3815727.0,46.0,359400,398355.0,1
w0!1663293,3816041.0,46.0,359400,398041.0,1
 
Fila Jobs n:,55,Size:,5,Current time:,3817962.0
w0!1663258,3776147.0,16.0,359400,180656.0,20
w0!1663288,3813787.0,46.0,359400,402216.0,1
w0!1663291,3815727.0,46.0,359400,400276.0,1
w0!1663293,3816041.0,46.0,359400,399962.0,1
w0!1663298,3817962.0,13.0,3600,172320.0,20
 
Fila Jobs n:,56,Size:,6,Current time:,3818432.0
w0!1663258,3776147.0,16.0,359400,181126.0,20
w0!1663288,3813787.0,46.0,359400,402686.0,1
w0!1663291,3815727.0,46.0,359400,400746.0,1
w0!1663293,3816041.0,46.0,359400,400432.0,1
